Personajes,Descripcion,Sexo,Area,Rol,LV,Voz,Sonido introductorio,Características,Apellido_ES,Apellido_JP,Apellido_EN,Apellido_AR,Apellido_GR,Apellido_CH,Nombre,Inspiración,Voz Loq,Homologado
Cactus,"Algo narcisista, Incompetente, suele no entender el contexto de las cosas, idiota, muy suertudo, de alguna maera todo le sale. Tiene la realidad algo alterada",H,Consultoría,Senior,3,Callum,Discord Connect,"Evita el trabajo a toda costa, responde con cosas filosóficas superficiales para safarse (G), Inútil (sobrino del jefe), podría caer en estafas y pseudociencias. Tiene la realidad algo alterada",Rodríguez,Sato (佐藤),Smith,Al-Saud,Müller,Wang (王),Anatolio,G,Carlos,DONE
Conejo,"Workaholic, hipócrita, trata de esconder sus emociones, conspiranóico, pone pero a las cosas aunque no sea necesario. Paranóico. Tiene la realidad algo alterada",H,Consultoría,Analista,2,Daniel,Discord Connect,Perfeccionista hasta el extremo (Pati),Ramírez,Suzuki (鈴木),Johnson,Al Nahyan,Schmidt,Li (李),Anastacio,Pati,Juan,DONE
Coneja,"Inocente, Amable, linda, Tierna, Enojona a veces, no puede ocultar sus emociones, Está enamorada de Kiwi. Suele ser distraida. Mujer",M,Consultoría,Becaria,1,Mimi,Discord Connect,"Está enamorada de Kiwi, Distraída por su enamoramiento",González,Takahashi (高橋),Williams,Hussein,Schneider,Zhang (张),Agripina,Moshito,Esperanza,DONE
Kiwi,"Impulsivo, Divertido, un poco envidioso, creé que es bueno en muchas cosas pero solo lo es en el trabajo. Con TDAH. No se da cuenta de cosas obvias.",H,Consultoría,Becario,1,Harry,Discord Connect,"No entiende el sarcasmo o las indirectas, es tímido pero optimista e inteligente",Martínez,Tanaka (田中),Brown,Al-Masri,Fischer,Liu (刘),Policleto,EO,Jorge,DONE
Rinoceronte Rojo,"Se queja de los defectos de otros cuando él mismo los tiene, no entiende bromas, es boomer, algo enojón y sarcástico. Con leve autismo. Tiene la realidad algo alterada",H,Contabilidad,Director,5,Dave,Discord Connect,"Demasiado serio, nadie entiende sus chistes",López,Watanabe (渡辺),Jones,Abbas,Weber,Chen (陈),Bernardino,Michael Scott,Diego,DONE
Pata,"Muy chismosa, risueña, envidiosa, tranquila, viajera, dramática, superficial, vanidosa, lee el horóscopo. Con Trastorno Histriónico de la Personalidad. Mujer",M,RH,Analista,2,Glinda,Discord Connect,"Empática y buena onda, muy chismosa, está enterada de todo, Se estresa fácilmente",Fernández,Ito (伊藤),Miller,Al-Hashimi,Meyer,Yang (杨),Evodia,Gis,Ximena,DONE
Pato,"Resignado, desesperante, habla demasiado, amigable, a veces hace bromas de doble sentido. A veces sule ser la voz de la razón",H,Consultoría,Analista,2,Liam,Discord Connect,Tiene hemorroides por estar tanto sentado (Marco),Sánchez,Yamamoto (山本),Davis,Al-Amiri,Wagner,Huang (黄),Bonifacio,Marco,"Diego Beta: Tono 85, timbre 75",DONE
Pollo,"Algo inseguro, muy inteligente, amable, muy tranquilo y relajado, se preocupa genuinamente por los demás, podría caer en estafas y pseudociencias o pirámides",H,Consultoría,Gerente,4,Thomas,Discord Connect,"Complejo de inferioridad (soy el más profesional de todos, mi traje es carísimo, asciéndanme por favor) ",Jimenez,Nakamura (中村),Wilson,Khoury,Becker,Zhao (赵),Ataulfo,CG,"Jorge Beta: Tono 65, timbre 60",DONE
Roca,"Despreocupado, alburero, borracho, buena onda, dice las cosas sin filtros, divertido, algo incompetente",H,Calidad,Senior,3,Clyde,Discord Connect,"Alburero, borracho, buena onda, a veces hace bromas fuera de lugar, a veces dice ""ya valió barriga""",Pérez,Kobayashi (小林),Anderson,Mansour,Schulz,Wu (吴),Liborio,Nico,Juan2,DONE
Gata,"Empática, escuchadora activa, positiva, resolutiva, inclusiva, comunicativa, indecisa, a veces demasiado crítica consigo misma, y puede ser olvidadiza. Mujer",M,Consultoría,Analista,2,Jessica,Discord Connect,"Derrotada por la vida, ya no le importa nada",Gutiérrez,Kato (加藤),Taylor,Fayed,Hoffmann,Zhou (周),Eustaquia,,Isabela,DONE
